group,n,rmse,point_spearman,rank_spearman,ndcg,hit_recall_5pct,regret_5pct,normalized_regret_5pct,hit_recall_10pct,regret_10pct,normalized_regret_10pct,hit_recall_20pct,regret_20pct,normalized_regret_20pct,source,model,seed,fold_index,split,model_display,size_stratum
screen:Li_enzyme_catalyzed_Li_enzyme_catalyzed_generic_cell_HEK293T_in_vitro,144,1.0002014289091543,,,0.4536589516949834,0.0,6.288421372246603,0.8235294117634588,0.1333333333333333,6.288421372246603,0.8235294117634588,0.2068965517241379,6.288421372246603,0.8235294117634588,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260724,1,test,Metadata Extra Trees,Medium (100-499)
screen:Raj_Jacob_ML_branched_ester_RM_Michael_addition_branched_spleen_Mouse_intravenous,97,0.9451138779800714,0.3563079373273795,0.3563079373273795,0.9023367941159968,0.2,0.9598322450829212,0.187624407234874,0.1,0.9598322450829212,0.187624407234874,0.3,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260724,1,test,Metadata Extra Trees,Small (<100)
screen:Zhou_dendrimer_Zhou_dendrimer_liver_Mouse_intravenous,24,1.013844332785807,,,0.7483990932562883,1.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260724,1,test,Metadata Extra Trees,Small (<100)
screen:A549_form_screen_RM_Michael_addition_branched_lung_epithelium_A549_in_vitro,1156,0.9593286411950874,0.2859642832799048,0.2859642832799048,0.95488550875511,0.0862068965517241,0.125928242567396,0.0242634315424609,0.1724137931034483,0.125928242567396,0.0242634315424609,0.2758620689655172,0.0989436191600967,0.0190641247833621,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260724,1,test,Ionizable Morgan Extra Trees,Large (>=500)
screen:IR_4CR_ketone_4CR_Ketone_muscle_Mouse_intramuscular,71,0.96509171247196,0.3811967102993999,0.3811967102993999,0.9288817597216562,0.0,0.87745919390263,0.2250164007670354,0.0,0.5238868967349538,0.1343460125912045,0.3333333333333333,0.3764622752082396,0.0965403141030024,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260724,1,test,Ionizable Morgan Extra Trees,Small (<100)
screen:IR_BL_AG_3CR_sting_IR_3CR_sting_generic_cell_HeLa_in_vitro,480,1.3169658435751803,0.314558391179313,0.314558391179313,0.8794382191323324,0.0,1.9197236819315928,0.3295424040265249,0.2916666666666667,0.4152175673795435,0.0712768179275793,0.4270833333333333,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260724,1,test,Ionizable Morgan Extra Trees,Medium (100-499)
screen:IR_BL_AG_4CR_IR_4CR_aldehyde_generic_cell_HeLa_in_vitro,560,1.020997923639029,-0.0620654827657017,-0.0620654827657017,0.9180950594351388,0.1428571428571428,0.9930376393753688,0.1371237002334227,0.1607142857142857,0.9930376393753688,0.1371237002334227,0.1964285714285714,0.9930376393753688,0.1371237002334227,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260724,1,test,Ionizable Morgan Extra Trees,Large (>=500)
screen:Li_enzyme_catalyzed_Li_enzyme_catalyzed_generic_cell_HEK293T_in_vitro,144,1.0127405737735866,0.1702114178205835,0.1702114178205835,0.500533739555804,0.0,6.288421372246603,0.8235294117634588,0.1333333333333333,6.288421372246603,0.8235294117634588,0.2413793103448276,6.288421372246603,0.8235294117634588,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260724,1,test,Ionizable Morgan Extra Trees,Medium (100-499)
screen:Raj_Jacob_ML_branched_ester_RM_Michael_addition_branched_spleen_Mouse_intravenous,97,0.7923005740197158,0.6156263663323764,0.6156263663323764,0.9121279702246928,0.2,1.1414950572325295,0.223135172392848,0.2,1.1414950572325295,0.223135172392848,0.4,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260724,1,test,Ionizable Morgan Extra Trees,Small (<100)
screen:Zhou_dendrimer_Zhou_dendrimer_liver_Mouse_intravenous,24,1.412180181757603,0.4173394398012728,0.4173394398012728,0.807302703743286,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.2,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260724,1,test,Ionizable Morgan Extra Trees,Small (<100)
screen:A549_form_screen_RM_Michael_addition_branched_lung_epithelium_A549_in_vitro,1156,0.9060475409964394,0.4906712972783514,0.3390081779156224,0.94616156022678,0.1551724137931034,0.1079382896423339,0.0207971889805575,0.1724137931034483,0.1079382896423339,0.0207971889805575,0.3060344827586206,0.1079382896423339,0.0207971889805575,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260724,1,test,Validation-selected hybrid,Large (>=500)
screen:IR_4CR_ketone_4CR_Ketone_muscle_Mouse_intramuscular,71,1.004048482265264,-0.1203584932932652,0.3730308442874439,0.9140643558321012,0.0,0.8774592876434326,0.225016413868483,0.125,0.3764623403549194,0.0965403261166726,0.1333333333333333,0.3455293178558349,0.0886078352411694,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260724,1,test,Validation-selected hybrid,Small (<100)
screen:IR_BL_AG_3CR_sting_IR_3CR_sting_generic_cell_HeLa_in_vitro,480,1.0009178340126497,-0.1841780079054631,0.1583076664123274,0.8722378721697214,0.0,1.8054413795471191,0.3099245624599347,0.125,0.1388471126556396,0.0238346872549352,0.3125,0.0,0.0,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260724,1,test,Validation-selected hybrid,Medium (100-499)
