source,model,seed,fold_index,split,n,groups,rmse,point_spearman,within_group_spearman,within_group_ndcg,pair_accuracy,within_group_spearman_ci_low,within_group_spearman_ci_high,within_group_ndcg_ci_low,within_group_ndcg_ci_high,within_group_hit_recall_5pct,within_group_hit_recall_5pct_ci_low,within_group_hit_recall_5pct_ci_high,within_group_normalized_regret_5pct,within_group_normalized_regret_5pct_ci_low,within_group_normalized_regret_5pct_ci_high,within_group_regret_5pct,within_group_hit_recall_10pct,within_group_hit_recall_10pct_ci_low,within_group_hit_recall_10pct_ci_high,within_group_normalized_regret_10pct,within_group_normalized_regret_10pct_ci_low,within_group_normalized_regret_10pct_ci_high,within_group_regret_10pct,within_group_hit_recall_20pct,within_group_hit_recall_20pct_ci_low,within_group_hit_recall_20pct_ci_high,within_group_normalized_regret_20pct,within_group_normalized_regret_20pct_ci_low,within_group_normalized_regret_20pct_ci_high,within_group_regret_20pct
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260724,1,val,2537,7,0.9848160426198893,0.19914171624256582,0.19057406233638977,0.8358136182195576,0.5700319416206976,-0.004446412028129969,0.40841285150269524,0.7459744066257387,0.9060008356197249,0.21247947454844004,0.062233169129720864,0.38674055829228215,0.18285238336524584,0.060382916053019174,0.31169005212197387,0.7748696404225096,0.24211065462939527,0.08945364979847738,0.39945741415006786,0.16640662980609022,0.05112486620747806,0.3020433102278921,0.6967126621741305,0.32765663577684034,0.14976002258610954,0.5151301400006644,0.09992129730514657,0.02004194826380796,0.2085465552406459,0.44533094967396913
method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260724,1,val,2537,7,0.9854427244015231,0.1620141539135159,0.24228149620773137,0.8501528601009006,0.5929790193206045,0.09962048788563196,0.4114344131510413,0.7618148272439558,0.9148984242660612,0.15141065830721004,0.017913121361397222,0.3121809225257501,0.18842619914144226,0.05455000751057221,0.3541978619755115,0.7920648115021842,0.27229101899266817,0.12152000298552022,0.4332000071392873,0.18827822892958304,0.060824981716151735,0.3475759261279211,0.7913844670568194,0.378080678911881,0.22231789949181252,0.5256374970936991,0.1272794798650772,0.010309278646055506,0.26501333895257717,0.5734087739671979
ablation_results\20260903_092511\results.json,A115_dual_rank_residual,20260724,1,test,2532,7,1.0070634851299733,0.06123512259464819,0.2987139804559783,0.8361514932232964,0.5955285651367453,0.15027062203131522,0.4582000107134974,0.7273586035806305,0.910941785228741,0.08390218156228009,0.030612244897959183,0.1410450387051372,0.25190094820128833,0.10392116802487776,0.43162518080713574,1.5777850236211504,0.20579404175463287,0.14882125263898663,0.2734811165845648,0.14679640123662832,0.043729022071772386,0.2883545451338915,0.9679117543356759,0.290272402064274,0.21341198979591838,0.37253877844241146,0.06635207629154079,0.012658262177309922,0.1297340656154518,0.3658593211855207
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260724,1,test,2532,7,0.949774039253999,0.30725840368561763,0.2209939989711687,0.8165919706576855,0.4931434702262741,-0.18176159530020133,0.48843565488632795,0.6850741370481648,0.91157033622213,0.2905934787708186,0.11678102275392915,0.5453553835327234,0.2082180255682289,0.03538377217196983,0.4349318577908008,1.4685846745633522,0.31954609429978886,0.16222495894909686,0.562613183204316,0.2082180255682289,0.03538377217196983,0.4349318577908008,1.4685846745633522,0.30658133943232463,0.19222525216983344,0.4349877580342482,0.18141453882038977,0.008580285424130685,0.4167086564670924,1.331465782408649
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260724,1,test,2532,7,1.052104492043296,0.19938991827531094,0.30326158942102127,0.8430378515097173,0.5857310584412074,0.14748181048602613,0.43947037742404205,0.7230461013904684,0.9247278696454407,0.1327234342012667,0.028571428571428574,0.2755119634060521,0.25180150296082154,0.09427390987155629,0.45891060301704295,1.6208664553223027,0.18449448745015246,0.10662693525686137,0.25510204081632654,0.2019535066358535,0.05936240362565564,0.42359901721540744,1.3554266822194847,0.29629808820079756,0.2334495953553835,0.3601254618226601,0.1537510786976066,0.01651491984090923,0.38632174994668594,1.1081235579986155
method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260724,1,test,2532,7,0.9567192754195675,0.2835528220037911,0.3194753913726403,0.8513853713258996,0.5995924605196128,0.18157649168788673,0.4587449616218392,0.7362763139996559,0.921066407377796,0.06604503870513723,0.015306122448979591,0.12568613652357494,0.24850377165667825,0.09361476911555681,0.45610804423128565,1.6019703234945024,0.2026917663617171,0.15318921534130894,0.25663265306122446,0.17714187448043886,0.043729022071772386,0.3760711334262424,1.1996279614312308,0.305553600750645,0.23452095062162795,0.36749999999999994,0.06202187332865429,0.012658262177309922,0.11562884666614161,0.3437624658857073
ablation_results\20260903_092831\results.json,A115_dual_rank_residual,20260725,2,val,2541,8,1.0016865437456948,0.11441368215909992,0.28096154845065746,0.892632703725728,0.540463121282664,0.03798723715014378,0.5284495785025439,0.8249286543707559,0.9455452049042895,0.16847643097643095,0.016025883838383846,0.42727272727272725,0.21965970396062479,0.09567915160033777,0.3450478280158454,0.9651704914867878,0.27283775252525255,0.1125,0.4951432291666666,0.09015934628856719,0.022669971484591867,0.16551087635771494,0.45667459070682526,0.3341886123136123,0.15356725739538238,0.5569560560966809,0.07163764825736701,0.02004843362760638,0.1366856630135296,0.3242198973894119
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260725,2,val,2541,8,1.0013496046073378,0.027114617864511033,0.19892466144153617,0.8491418302768661,0.003084995886967309,-0.07953515164583669,0.6153901810271929,0.7854429080483388,0.9045361602657137,0.09554924242424243,0.020833333333333332,0.19554924242424243,0.3487233316515604,0.10115104479707675,0.6290106951871658,1.19578005877828,0.10127314814814815,0.025,0.20439814814814816,0.31953194841785976,0.0712282984215081,0.6442070388234935,1.0491068024670425,0.1340935395622896,0.026136363636363635,0.2652909958964638,0.30207911822760225,0.0423090555749774,0.5769876658869673,0.9226542504410671
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260725,2,val,2541,8,1.0112351237911787,0.24177457602632993,0.3998079428493059,0.9124222118385632,0.5791867263713134,0.22802599567584828,0.5893080082390996,0.861809294194695,0.9540566809238661,0.3426557239057239,0.14705387205387205,0.575776515151515,0.09325287589397252,0.026350753260378383,0.16687844317950692,0.424361271966318,0.3261731902356902,0.13944444444444445,0.5462121212121211,0.06126727252640218,0.011610397243776565,0.11852384986563859,0.30135195489042277,0.43353137025012023,0.2444760101010101,0.6376118232172917,0.05013971760039695,0.005182738902354574,0.11316094219581294,0.2614899750600172
method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260725,2,val,2541,8,1.0004055510075378,0.13095924878450796,0.3998079428493059,0.9124222125785262,0.5791867263713134,0.22802599567584828,0.5893080082390996,0.8618092958177935,0.9540566809143645,0.3426557239057239,0.14705387205387205,0.575776515151515,0.09325288147540672,0.02635075188352022,0.16687845131686815,0.42436128482222557,0.3261731902356902,0.13944444444444445,0.5462121212121211,0.06126727320955071,0.01161039617475895,0.11852385382483814,0.30135195702314377,0.43353137025012023,0.2444760101010101,0.6376118232172917,0.05013972274761858,0.00518273856910669,0.11316094760706283,0.26148999482393265
