group,n,rmse,point_spearman,rank_spearman,ndcg,hit_recall_5pct,regret_5pct,normalized_regret_5pct,hit_recall_10pct,regret_10pct,normalized_regret_10pct,hit_recall_20pct,regret_20pct,normalized_regret_20pct,source,model,seed,fold_index,split
screen:Raj_Jacob_ML_branched_ester_RM_Michael_addition_branched_spleen_Mouse_intravenous,97,0.9217773367898071,0.48703770669647267,0.5764273104758112,0.9105545495724378,0.0,1.5955066680908203,0.311883646656769,0.3,0.0,0.0,0.4,0.0,0.0,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,val
screen:Zhou_dendrimer_Zhou_dendrimer_liver_Mouse_intravenous,24,1.00722889320515,-0.22251948007103262,0.2742252513738452,0.8707480308242705,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.2,0.0,0.0,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,val
screen:Akinc_Michael_addition_Akinc_Michael_generic_cell_HeLa_in_vitro,487,1.0132081358097038,0.14390266247820738,0.09140075450644962,0.5028692881110348,0.0,4.376218318939209,0.7500000204301895,0.04081632653061224,4.376218318939209,0.7500000204301895,0.17346938775510204,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test
screen:Chen_disulfide_Chen_disulfide_generic_cell_IGROV1_in_vitro,100,0.908009056107264,0.44850042195708173,0.2666126108707701,0.9406640695043237,0.2,0.0,0.0,0.1,0.0,0.0,0.35,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test
screen:IR_4CR_ketone_4CR_Ketone_lung_epithelium_HBEC_ALI_in_vitro,28,1.0399097828913482,-0.37275341431279946,-0.32667656739182427,0.7260033185984976,0.0,2.5391993150115013,0.6153846152457172,0.0,2.5391993150115013,0.6153846152457172,0.16666666666666666,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test
screen:LM_3CR_LM_3CR_dendritic_cell_BMDM_in_vitro,12,0.9952733187461614,0.27272727272727276,0.7902097902097903,0.9448746086254612,0.0,0.3309131860733032,0.11351839208712602,0.0,0.3309131860733032,0.11351839208712602,0.6666666666666666,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test
screen:Miller_zwitter_lipids_Miller_ZAL_generic_cell_HeLa_in_vitro,72,1.007623200500195,-0.09760420053211195,0.3181558105903274,0.7334486780032969,0.0,1.6184884905815125,0.5,0.125,0.0,0.0,0.5333333333333333,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test
screen:Sanofi_goods_Sanofi_goods_muscle_Mouse_intramuscular,260,0.9370695369208192,0.7121963099325983,0.6719916743288069,0.8851554206345288,0.3076923076923077,0.11200308799743652,0.02559562508368534,0.34615384615384615,0.11200308799743652,0.02559562508368534,0.4230769230769231,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test
screen:Yan_aza_michael_Yan_aza_michael_generic_cell_IGROV1_in_vitro,119,0.9800100207658785,0.16192540233361094,0.13873065166897366,0.6074340437859123,0.0,2.9927045926451683,0.799999990041676,0.0,2.9927045926451683,0.799999990041676,0.125,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test
screen:Zhou_dendrimer_Zhou_dendrimer_generic_cell_HeLa_in_vitro,1470,1.0204408678213495,0.20235073197124026,0.21816403124873723,0.7962109359805158,0.21621621621621623,0.0,0.0,0.272108843537415,0.0,0.0,0.391156462585034,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test
screen:Akinc_Michael_addition_Akinc_Michael_generic_cell_HeLa_in_vitro,487,1.0287412710323993,,,0.5077882388174177,0.4,0.0,0.0,0.20408163265306123,0.0,0.0,0.3163265306122449,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260723,0,test
screen:Chen_disulfide_Chen_disulfide_generic_cell_IGROV1_in_vitro,100,0.9239458560617678,0.43500687641175934,0.43500687641175934,0.9745164328898753,0.4,0.0,0.0,0.2,0.0,0.0,0.25,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260723,0,test
screen:IR_4CR_ketone_4CR_Ketone_lung_epithelium_HBEC_ALI_in_vitro,28,1.2101630670586876,0.15137133751344908,0.15137133751344908,0.8053482438492997,0.0,1.904399365411665,0.4615384615384615,0.0,1.904399365411665,0.4615384615384615,0.5,0.9521996827058321,0.23076923076923064,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260723,0,test
screen:LM_3CR_LM_3CR_dendritic_cell_BMDM_in_vitro,12,1.0000075955400916,,,0.7387476120663493,0.0,2.915062179271949,1.0,0.0,2.6835423513951278,0.9205780825112126,0.0,2.5858974600628573,0.8870814071995876,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260723,0,test
screen:Miller_zwitter_lipids_Miller_ZAL_generic_cell_HeLa_in_vitro,72,0.9930336634886048,0.19205616690668725,0.19205616690668725,0.7131479933190281,0.25,0.0,0.0,0.125,0.0,0.0,0.26666666666666666,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260723,0,test
screen:Sanofi_goods_Sanofi_goods_muscle_Mouse_intramuscular,260,1.0014397465445402,,,0.7729731473955577,0.15384615384615385,0.9571176697216552,0.21872634917284106,0.23076923076923078,0.9571176697216552,0.21872634917284106,0.23076923076923078,0.9571176697216552,0.21872634917284106,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260723,0,test
screen:Yan_aza_michael_Yan_aza_michael_generic_cell_IGROV1_in_vitro,119,1.0434881834342256,,,0.6593853453459043,0.0,2.9927046511379976,0.8,0.0,2.9927046511379976,0.8,0.0,2.9927046511379976,0.8,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260723,0,test
screen:Zhou_dendrimer_Zhou_dendrimer_generic_cell_HeLa_in_vitro,1470,1.0067587714293864,0.026022162230244825,0.026022162230244825,0.7252007362548957,0.02702702702702703,1.4167541866805688,0.3333333333333334,0.09523809523809523,0.0,0.0,0.2108843537414966,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260723,0,test
screen:Akinc_Michael_addition_Akinc_Michael_generic_cell_HeLa_in_vitro,487,1.0092659538773594,0.13329851009164184,0.13329851009164184,0.5184608099452984,0.0,4.376217955897417,0.75,0.08163265306122448,0.0,0.0,0.20408163265306123,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,test
screen:Chen_disulfide_Chen_disulfide_generic_cell_IGROV1_in_vitro,100,0.8968906185811153,0.5091383209778865,0.5091383209778865,0.9780897546285799,0.4,0.0,0.0,0.4,0.0,0.0,0.75,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,test
screen:IR_4CR_ketone_4CR_Ketone_lung_epithelium_HBEC_ALI_in_vitro,28,1.0251435321711122,-0.45359482837175596,-0.45359482837175596,0.6691965795428748,0.0,3.173998942352775,0.7692307692307692,0.0,3.173998942352775,0.7692307692307692,0.0,1.904399365411665,0.4615384615384615,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,test
screen:LM_3CR_LM_3CR_dendritic_cell_BMDM_in_vitro,12,0.8676085009601143,0.9090909090909092,0.9090909090909092,0.9625914551282488,1.0,0.0,0.0,0.5,0.0,0.0,0.6666666666666666,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,test
screen:Miller_zwitter_lipids_Miller_ZAL_generic_cell_HeLa_in_vitro,72,1.1321259423313867,-0.1741524470705802,-0.1741524470705802,0.5603510525760487,0.0,2.4277326460937885,0.7499999999999999,0.0,2.4277326460937885,0.7499999999999999,0.06666666666666667,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,test
screen:Sanofi_goods_Sanofi_goods_muscle_Mouse_intramuscular,260,1.012177371390187,0.4789334476154991,0.4789334476154991,0.7930548846309254,0.07692307692307693,1.252398653787042,0.2862057549637387,0.038461538461538464,1.252398653787042,0.2862057549637387,0.19230769230769232,0.11200313091058334,0.02559563645619884,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,test
screen:Yan_aza_michael_Yan_aza_michael_generic_cell_IGROV1_in_vitro,119,1.145912855739047,0.24087250797130438,0.24087250797130438,0.6923082106777698,0.0,0.7481761627844996,0.20000000000000007,0.25,0.0,0.0,0.20833333333333334,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,test
screen:Zhou_dendrimer_Zhou_dendrimer_generic_cell_HeLa_in_vitro,1470,0.9559690588834333,0.1969479268482476,0.1969479268482476,0.8460522787855941,0.24324324324324326,0.0,0.0,0.38095238095238093,0.0,0.0,0.3843537414965986,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,test
screen:Akinc_Michael_addition_Akinc_Michael_generic_cell_HeLa_in_vitro,487,1.0194918856542412,0.14390266247820738,0.13329851009164184,0.5184608034676195,0.0,4.376218318939209,0.7500000204301895,0.08163265306122448,0.0,0.0,0.20408163265306123,0.0,0.0,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,test
screen:Chen_disulfide_Chen_disulfide_generic_cell_IGROV1_in_vitro,100,0.9160623880287119,0.44221012976410173,0.5091383209778865,0.9780897535146176,0.4,0.0,0.0,0.4,0.0,0.0,0.75,0.0,0.0,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,test
screen:IR_4CR_ketone_4CR_Ketone_lung_epithelium_HBEC_ALI_in_vitro,28,1.1720390609451932,0.18927375441789818,-0.45359482837175596,0.6691965879872455,0.0,3.173999071121216,0.7692307514518001,0.0,3.173999071121216,0.7692307514518001,0.0,1.9043995141983032,0.461538468205575,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,test
screen:LM_3CR_LM_3CR_dendritic_cell_BMDM_in_vitro,12,0.9994546432502215,0.27272727272727276,0.9090909090909092,0.9625914594422482,1.0,0.0,0.0,0.5,0.0,0.0,0.6666666666666666,0.0,0.0,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,test
