case_code,selection_rule,screen,fraction_inspected,candidates_inspected,normalized_regret,color
C2,Median-ranking case,LM three-component-reaction screen,0.03888888888888889,42,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.03981481481481482,43,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.040740740740740744,44,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.041666666666666664,45,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.04259259259259259,46,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.04351851851851852,47,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.044444444444444446,48,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.04537037037037037,49,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.046296296296296294,50,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.04722222222222222,51,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.04814814814814815,52,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.049074074074074076,53,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.05,54,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.05092592592592592,55,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.05185185185185185,56,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.05277777777777778,57,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.053703703703703705,58,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.05462962962962963,59,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.05555555555555555,60,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.05648148148148148,61,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.05740740740740741,62,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.058333333333333334,63,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.05925925925925926,64,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.06018518518518518,65,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.06111111111111111,66,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.062037037037037036,67,0.0,#4C78A8
