screen_code,group,n,rmse,point_spearman,rank_spearman,ndcg,hit_recall_5pct,regret_5pct,normalized_regret_5pct,hit_recall_10pct,regret_10pct,normalized_regret_10pct,hit_recall_20pct,regret_20pct,normalized_regret_20pct,source,model,seed,fold_index,split,delivery_target,model_type,route_of_administration,cargo_type,experiment_id,library_id,prediction_rows,delivery_target_display,model_type_display,route_of_administration_display,cargo_type_display
S28,screen:RM_BL_AG_carbonate_RM_carbonate_lung_epithelium_nan_intratracheal,35,0.8580489520137069,0.1844666998010624,-0.1687793266972514,0.824881997893506,0.5,1.4952352046966553,0.318964155871686,0.25,1.4952352046966553,0.318964155871686,0.1428571428571428,1.4952352046966553,0.318964155871686,ablation_results\20260903_093354\results.json,A115_dual_rank_residual,20260727,4,test,lung_epithelium,,intratracheal,mRNA,RM_BL_AG_carbonate,RM_carbonate,35,Lung epithelium,Not reported,Intratracheal,mRNA
S29,screen:IR_4CR_ketone_4CR_Ketone_lung_epithelium_HBEC_ALI_in_vitro,28,1.0399097828913482,-0.3727534143127994,-0.3266765673918242,0.7260033185984976,0.0,2.5391993150115013,0.6153846152457172,0.0,2.5391993150115013,0.6153846152457172,0.1666666666666666,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test,lung_epithelium,HBEC_ALI,in_vitro,mRNA,IR_4CR_ketone,4CR_Ketone,28,Lung epithelium,HBEC-ALI,In vitro,mRNA
S30,screen:LM_3CR_LM_3CR_macrophage_BDMC_in_vitro,36,0.998999573154261,0.3894465894465895,0.2283140283140283,0.7788349110921339,0.0,2.1731282770633698,0.6342312115637269,0.25,0.2456980943679809,0.0717074098729604,0.5,0.0,0.0,ablation_results\20260903_093354\results.json,A115_dual_rank_residual,20260727,4,test,macrophage,BDMC,in_vitro,mRNA,LM_3CR,LM_3CR,36,Macrophage,BDMC,In vitro,mRNA
S31,screen:AGILE_3CR_Agile_3CR_macrophage_RAW264p7_in_vitro,1100,1.0185187249886245,-0.0416408461208763,0.1146225848159272,0.9061728001668116,0.0363636363636363,1.88653564453125,0.2603773964879688,0.1727272727272727,1.2576904296875,0.1735849309919792,0.2772727272727273,1.1483261585235596,0.1584906049043603,ablation_results\20260903_093125\results.json,A115_dual_rank_residual,20260726,3,test,macrophage,RAW264p7,in_vitro,mRNA,AGILE_3CR,Agile_3CR,1100,Macrophage,RAW264.7,In vitro,mRNA
S32,screen:Sanofi_goods_Sanofi_goods_muscle_Mouse_intramuscular,260,0.9370695369208192,0.7121963099325983,0.6719916743288069,0.8851554206345288,0.3076923076923077,0.1120030879974365,0.0255956250836853,0.3461538461538461,0.1120030879974365,0.0255956250836853,0.4230769230769231,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test,muscle,Mouse,intramuscular,mRNA,Sanofi_goods,Sanofi_goods,260,Muscle,Mouse,Intramuscular,mRNA
S33,screen:IR_BL_AG_4CR_IR_4CR_aldehyde_muscle_Mouse_intramuscular,51,1.002348099061699,-0.1715006078167833,0.45643615276367,0.8264109474222389,0.0,0.5672236680984497,0.1813597718767349,0.1666666666666666,0.5672236680984497,0.1813597718767349,0.3636363636363636,0.0,0.0,ablation_results\20260903_093125\results.json,A115_dual_rank_residual,20260726,3,test,muscle,Mouse,intramuscular,mRNA,IR_BL_AG_4CR,IR_4CR_aldehyde,51,Muscle,Mouse,Intramuscular,mRNA
S34,screen:IR_4CR_ketone_4CR_Ketone_muscle_Mouse_intramuscular,71,1.0073067836732854,0.0655952111679094,0.3560619399669111,0.903548224716444,0.0,1.1892624497413635,0.3049754847406584,0.125,0.3764623403549194,0.0965403261166726,0.1333333333333333,0.3455293178558349,0.0886078352411694,ablation_results\20260903_092511\results.json,A115_dual_rank_residual,20260724,1,test,muscle,Mouse,intramuscular,mRNA,IR_4CR_ketone,4CR_Ketone,71,Muscle,Mouse,Intramuscular,mRNA
S35,screen:Raj_Jacob_ML_branched_ester_RM_Michael_addition_branched_muscle_Mouse_intramuscular,18,1.001575897382501,-0.2734778121775025,0.2755417956656346,0.909269882124952,0.0,1.3055254817008972,0.3016491384983931,0.0,1.0219670534133911,0.2361313398756917,0.0,1.0012906789779663,0.2313539451613502,ablation_results\20260903_093125\results.json,A115_dual_rank_residual,20260726,3,test,muscle,Mouse,intramuscular,mRNA,Raj_Jacob_ML_branched_ester,RM_Michael_addition_branched,18,Muscle,Mouse,Intramuscular,mRNA
S36,screen:RM_BL_AG_carbonate_RM_carbonate_muscle_nan_intramuscular,4,1.0046665830961024,-0.1999999999999999,-0.1999999999999999,0.6625315674018344,0.0,2.561699151992798,1.0,0.0,2.561699151992798,1.0,0.0,2.561699151992798,1.0,ablation_results\20260903_093125\results.json,A115_dual_rank_residual,20260726,3,test,muscle,,intramuscular,mRNA,RM_BL_AG_carbonate,RM_carbonate,4,Muscle,Not reported,Intramuscular,mRNA
S37,screen:Raj_Jacob_ML_branched_ester_RM_Michael_addition_branched_spleen_Mouse_intravenous,97,1.0132262855581229,-0.092562092160375,0.4767333681824367,0.9007178186919436,0.2,1.141494870185852,0.223135147635398,0.2,1.141494870185852,0.223135147635398,0.35,1.141494870185852,0.223135147635398,ablation_results\20260903_092511\results.json,A115_dual_rank_residual,20260724,1,test,spleen,Mouse,intravenous,mRNA,Raj_Jacob_ML_branched_ester,RM_Michael_addition_branched,97,Spleen,Mouse,Intravenous,mRNA
S38,screen:He_4CR_aldehyde_He_4CR_aldehyde_spleen_Mouse_intravenous,160,0.9969279412367132,-0.2532594441228766,-0.0199721052400053,0.836765347837108,0.0,0.2710013389587402,0.0909090981799097,0.0625,0.2710013389587402,0.0909090981799097,0.25,0.0956475734710693,0.0320855781774399,ablation_results\20260903_093125\results.json,A115_dual_rank_residual,20260726,3,test,spleen,Mouse,intravenous,mRNA,He_4CR_aldehyde,He_4CR_aldehyde,160,Spleen,Mouse,Intravenous,mRNA
